Seating Interest (Sidewalk/Roadway/Both),CAMIS,Approved for Sidewalk Seating,Approved for Roadway Seating,Time of Submission,,,Score,Grade,BOROUGH,Violation Code,Violation Description,Cuisin
sidewalk,50002692,yes,no,2020/7/10,,,25,B,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Asian/Asian Fusion
both,40395122,yes,yes,2020/6/22,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Pizza
roadway,41412957,no,yes,2020/7/20,,,12,A,Queens,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Bangladeshi
roadway,50068126,no,yes,2021/6/11,,,12,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,American
sidewalk,50092994,yes,no,2020/7/14,,,32,C,Brooklyn,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Coffee/Tea
openstreets,41636061,no,no,2020/7/16,,,11,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,American
both,40369878,yes,yes,2020/7/1,,,12,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Italian
sidewalk,41077507,yes,no,2020/11/27,,,12,A,Bronx,06F,Wiping cloths soiled or not stored in sanitizing solution.,Latin American
both,50100558,yes,yes,2021/3/12,,,9,A,Brooklyn,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Mexican
roadway,41277451,no,yes,2020/8/26,,,11,A,Manhattan,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",American
roadway,50091554,no,yes,2020/6/22,,,13,A,Brooklyn,10H,Proper sanitization not provided for utensil ware washing operation.,American
both,41456225,yes,yes,2020/6/22,,,12,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
both,41645425,yes,yes,2020/6/20,,,13,A,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
both,B0902629,yes,yes,2020/7/31,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50003750,no,yes,2020/6/29,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50064208,yes,no,2020/10/15,,,21,B,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,American
sidewalk,41672156,yes,no,2020/7/20,,,6,A,Brooklyn,10D,"Mechanical or natural ventilation system not provided,  improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Pizza
both,41160076,yes,yes,2020/7/28,,,10,A,Manhattan,06F,Wiping cloths soiled or not stored in sanitizing solution.,French
roadway,50047483,no,yes,2020/8/17,,,5,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Pizza
both,40999185,yes,yes,2020/6/20,,,19,B,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Italian
both,50077172,yes,yes,2020/6/23,,,6,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,41622592,yes,yes,2020/8/15,,,2,A,Staten Island,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",American
both,50016720,yes,yes,2021/3/3,,,7,A,Queens,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",French
both,50101922,yes,yes,2020/6/23,,,12,A,Queens,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Peruvian
both,50013910,yes,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40510335,yes,yes,2020/7/20,,,7,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",American
both,50059876,yes,yes,2020/6/20,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Italian
both,50045268,yes,yes,2020/6/21,,,13,A,Brooklyn,06F,Wiping cloths soiled or not stored in sanitizing solution.,Spanish
both,50107815,yes,yes,2021/3/3,,,7,A,Queens,02B,Hot food item not held at or above 140º F.,Pizza
sidewalk,50104509,yes,no,2020/8/13,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,50018732,no,yes,2020/6/20,,,13,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Mexican
roadway,50098145,no,yes,2020/7/2,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,40732665,yes,yes,2020/6/24,,,9,A,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Sandwiches
both,50105852,yes,yes,2021/4/26,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
both,50061530,yes,yes,2020/7/9,,,20,B,Brooklyn,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Mexican
sidewalk,50033552,yes,no,2020/7/9,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Japanese
both,41078099,yes,yes,2021/4/26,,,13,A,Manhattan,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Pizza
sidewalk,50066680,yes,no,2020/6/22,,,11,A,Queens,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Tapas
sidewalk,50066230,yes,no,2020/7/20,,,16,B,Manhattan,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Caribbean
roadway,50040518,no,yes,2021/3/11,,,5,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,41709840,yes,yes,2020/6/26,,,20,B,Manhattan,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",American
both,1234567890,yes,yes,2020/6/20,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41664779,yes,no,2020/6/25,,,13,A,Queens,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant. Effective hair restraint not worn in an area where food is prepared.,American
both,41649614,yes,yes,2020/6/20,,,2,A,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",French
roadway,41580023,no,yes,2020/6/26,,,16,B,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Thai
both,50108954,yes,yes,2021/3/11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50003699,yes,no,2021/3/5,,,2,C,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
roadway,41230004,no,yes,2020/6/24,,,13,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
sidewalk,50072235,yes,no,2020/6/22,,,12,A,Queens,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Chinese
both,50000290,yes,yes,2020/6/23,,,11,A,Queens,02B,Hot food item not held at or above 140º F.,English
sidewalk,41186217,yes,no,2020/6/24,,,7,A,Manhattan,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
both,50103137,yes,yes,2021/3/4,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
roadway,41130849,no,yes,2020/8/24,,,16,B,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Pizza
both,41631487,yes,yes,2020/6/29,,,12,A,Manhattan,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Korean
both,50060875,yes,yes,2020/6/21,,,12,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Spanish
both,50002416,yes,yes,2021/3/5,,,7,A,Brooklyn,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Coffee/Tea
both,50042441,yes,yes,2020/8/19,,,7,A,Brooklyn,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Hamburgers
roadway,50036199,no,yes,2020/8/20,,,14,B,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Mediterranean
sidewalk,41624996,yes,no,2020/6/25,,,20,B,Brooklyn,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Caribbean
both,50003699,yes,yes,2021/3/5,,,2,C,Brooklyn,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Coffee/Tea
both,50083455,yes,yes,2020/7/20,,,12,A,Manhattan,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Japanese
both,50105147,yes,yes,2021/3/4,,,12,A,Brooklyn,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",Caribbean
both,50004923,yes,yes,2020/6/20,,,10,A,Queens,06F,Wiping cloths soiled or not stored in sanitizing solution.,Thai
both,50043736,yes,yes,2020/8/5,,,12,A,Manhattan,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Japanese
roadway,41696092,no,yes,2020/6/22,,,13,A,Queens,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Italian
both,50038633,yes,yes,2020/10/5,,,13,A,Manhattan,10J,Hand wash sign not posted,Japanese
both,50081076,yes,yes,2020/6/24,,,10,A,Manhattan,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Italian
roadway,50085528,no,yes,2020/8/19,,,12,A,Manhattan,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Chinese
sidewalk,50108036,yes,no,2021/3/11,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,50104399,yes,no,2020/6/27,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sidewalk,41459972,yes,no,2020/6/25,,,12,A,Queens,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2  hours, and from 70º F to 41º F or less within 4 additional hours.",American
sidewalk,50018146,yes,no,2020/7/9,,,13,A,Manhattan,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Coffee/Tea
roadway,41551299,no,yes,2020/7/27,,,9,A,Brooklyn,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",American
roadway,50091156,no,yes,2020/9/1,,,12,A,Manhattan,02B,Hot food item not held at or above 140º F.,French
both,50087102,yes,yes,2020/7/21,,,11,A,Manhattan,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas.  Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies.  Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Hamburgers
